names	scores	logfoldchanges	pvals	pvals_adj
CKS2	45.782135	4.9938984	0.0	0.0
HSP90AA1	44.163254	2.402863	0.0	0.0
VCX3B	43.5266	7.00194	0.0	0.0
EIF5	43.318558	2.502787	0.0	0.0
SPINT2	42.791183	4.9256783	0.0	0.0
SMC3	42.56214	3.8353674	0.0	0.0
MT-CO2	42.488697	1.4832196	0.0	0.0
CCT2	41.958584	3.4924915	0.0	0.0
TKTL1	41.45429	6.2629075	0.0	0.0
PAGE2B	40.961567	6.7991843	0.0	0.0
RAN	40.92109	2.371445	0.0	0.0
HMGA1	40.72354	6.4880457	0.0	0.0
FMR1NB	40.101414	6.3318357	0.0	0.0
WBSCR22	39.66577	3.4894023	0.0	0.0
STMN1	38.994045	3.722272	0.0	0.0
HERC5	38.966347	5.171607	0.0	0.0
MT-CO3	38.93516	1.3153416	0.0	0.0
DNAJB6	38.85845	2.7297118	0.0	0.0
UBB	38.821674	1.4171742	0.0	0.0
LSM4	38.481033	3.023436	0.0	0.0
GAGE2A	38.434853	7.236717	0.0	0.0
CENPH	38.417553	5.25733	0.0	0.0
MAEL	38.318687	6.0678306	0.0	0.0
MT-CO1	38.02412	1.2577242	0.0	0.0
KPNA2	37.90905	4.842227	0.0	0.0
XRCC6	37.806324	2.4277291	0.0	0.0
UBE2S	37.735218	2.7522614	0.0	0.0
HDAC2	37.55679	3.0226622	1.091537797516353e-308	2.791726562560846e-306
KRBOX1-1	37.46896	5.5111346	2.950978361426986e-307	7.386863919614572e-305
NASP	37.24876	2.923729	1.109732829947931e-303	2.664491172313757e-301
TUBB4B	37.233364	2.2518094	1.9695888245545706e-303	4.681255054724146e-301
BRD7	37.175053	3.6389308	1.7268579104354065e-302	4.023066003222289e-300
HENMT1	37.121944	5.5212984	1.2435837549275072e-301	2.8136082455234847e-299
CPVL	36.73769	4.1193213	1.828204007009275e-295	4.020340213544695e-293
SECISBP2	36.652027	3.6598954	4.248246909487364e-294	9.087386343657971e-292
CCT8	36.51069	2.6777525	7.504373224569411e-292	1.5907919096767409e-289
TEX30	36.38623	4.4394917	7.02954135899005e-290	1.4509220015529464e-287
SMC4	36.37756	3.9020998	9.638222376512973e-290	1.9720641088639152e-287
LYPLA1	36.34868	3.698573	2.7571761085557413e-289	5.592789123647982e-287
BSG	36.13235	1.9283171	7.044263231534968e-286	1.4046738460848965e-283
SBNO1	36.12463	3.6713142	9.3129858572859e-286	1.841466867411237e-283
PAGE2	36.02819	6.5332804	3.0283599785029845e-284	5.9381091911812685e-282
PRAME	35.90023	6.3952794	3.0294986546128008e-282	5.891248210168529e-280
MAGEA4	35.8752	6.65017	7.444758459465996e-282	1.4358620209117614e-279
GLRX3	35.842415	3.157574	2.4140946342669017e-281	4.618182662138227e-279
RPL39L	35.654274	4.5474195	2.0230034566930966e-278	3.748131601258942e-276
NAE1	35.624596	3.115656	5.830971007905502e-278	1.0718964673126287e-275
UBA2	35.56043	3.1416776	5.73313920131689e-277	1.0376981954383571e-274
RPN2	35.40707	2.534052	1.3290395795578257e-274	2.3691137353784575e-272
TUBA3C	35.351086	5.5553265	9.64757426057083e-274	1.6940852414271017e-271
VCX	35.312725	6.956409	3.7455273537484095e-273	6.480313134830887e-271
PAGE5	35.290745	6.1563277	8.143425027443137e-273	1.3986481087280074e-270
DYNC1LI1	35.161736	3.4319072	7.691481400362754e-271	1.2835500521314583e-268
ANAPC15	35.146606	4.008001	1.3098733080159196e-270	2.1705154181418723e-268
HPRT1	35.000786	3.4815984	2.1888476933329498e-268	3.601649386302399e-266
HMGB2	34.96956	2.6423485	6.531571646260679e-268	1.067276950253568e-265
CCDC34	34.93201	4.438589	2.4292371227830744e-267	3.9420654826955687e-265
CBX3	34.879475	2.5802672	1.5223291699342586e-266	2.436762269969599e-264
BANF1	34.50355	1.9748689	7.09545712165698e-261	1.0912163795594035e-258
ELAVL2	34.408558	6.083429	1.87781021335127e-259	2.8323637384714986e-257
EPCAM	34.334217	4.439392	2.42283267665755e-258	3.5854876026259214e-256
RNPS1	34.29695	2.314731	8.71269436157459e-258	1.281310614549063e-255
CCT5	34.291348	2.524894	1.0560819858701611e-257	1.5434539830760804e-255
KIF3A	34.234516	4.327073	7.414393973879734e-257	1.0769178407740134e-254
ZCWPW1	34.17594	5.076277	5.507509385492067e-256	7.854042172159294e-254
ATP1B3	34.162178	2.498401	8.817754273974569e-256	1.2498901088350698e-253
RANBP1	34.15589	2.1620808	1.0933153817714672e-255	1.5404617325199174e-253
CCT3	34.07675	2.227693	1.6304084836260365e-254	2.2700302733562507e-252
MAGEC2	34.046585	7.0796757	4.559444684318925e-254	6.31080784835437e-252
BTG3	34.040882	3.304376	5.5376119268202375e-254	7.619883546086561e-252
PDCD5	34.0252	2.4498963	9.44684240306362e-254	1.2923500101400404e-251
SUB1	33.908154	1.6456453	5.051823950886605e-252	6.87106459909606e-250
PARP1	33.826187	3.2961652	8.129494049494387e-251	1.0868579260488803e-248
GGH	33.560165	4.9567246	6.399059459590137e-247	8.458981409222244e-245
SUZ12	33.365635	3.4621866	4.3222446813608614e-244	5.588044909473685e-242
SRSF9	33.333027	1.7744749	1.2834787223236106e-243	1.6502871222007954e-241
HSPH1	33.275486	3.7994485	8.737823790035478e-243	1.1113567231326206e-240
PPM1G	33.25973	2.692137	1.4765225294562245e-242	1.867880382693815e-240
TRIM28	33.153652	2.3139403	5.016690213372099e-241	6.2456465989759515e-239
USP1	33.075287	2.947655	6.736751996721484e-240	8.342935499097712e-238
BCAP31	33.038933	2.403343	2.243187983410273e-239	2.7207326417342125e-237
PPP4C	33.022606	2.4431527	3.848659305541901e-239	4.6440488953538947e-237
RBM17	32.914608	2.6304104	1.3583639233129975e-237	1.630729750793614e-235
TRMT112	32.867268	1.7569706	6.45460949353915e-237	7.709490425531788e-235
DPEP3	32.857643	6.288869	8.859334107721732e-237	1.052828947245921e-234
DDX4	32.823044	5.644732	2.762657724127486e-236	3.266599811493455e-234
CENPV	32.77854	3.7847	1.1908024978790901e-235	1.4009791387547496e-233
FABP5	32.743618	4.461	3.742721066078213e-235	4.359714192317839e-233
HNRNPDL	32.734077	1.6817547	5.116364380477959e-235	5.927924942939041e-233
LAMTOR5	32.71477	1.7560037	9.628955544285613e-235	1.1052162144245875e-232
PSMG2	32.662785	2.2869403	5.275869907710348e-234	6.026272763515751e-232
SMARCB1	32.590523	3.0476632	5.587077726875481e-233	6.320381678527887e-231
EIF4A3	32.57204	2.437245	1.0208480211544866e-232	1.1438359017983367e-230
COPS3	32.56356	2.8632743	1.3459821927579678e-232	1.5009934121135062e-230
SMC1B	32.501472	6.8026123	1.0164253672779748e-231	1.1228398540868894e-229
OARD1	32.312298	3.0151002	4.699892376134464e-229	5.143649656299718e-227
HSF2	32.27376	4.1084404	1.633230344820991e-228	1.7628399088824734e-226
PFDN2	32.263348	2.1605144	2.2861480478324586e-228	2.4563042723971575e-226
TSG101	32.259327	2.5955174	2.6032916934979254e-228	2.784338797636645e-226
STK31	32.234154	6.433196	5.866403512987e-228	6.2459943285332185e-226
HDGFRP3	32.198284	3.1670272	1.8651767783508508e-227	1.9769193511079064e-225
FBXO7	32.178146	2.6518917	3.568804878272551e-227	3.7656492729037275e-225
CREM	32.07832	3.282275	8.845851288465769e-226	9.250794703004425e-224
EIF1B	31.96385	2.0738254	3.4689743984180675e-224	3.6117242298573955e-222
MT-ND1	31.95015	1.0869954	5.376866897101944e-224	5.573465995101708e-222
DDOST	31.942265	2.250185	6.918589975171491e-224	7.140106233148474e-222
MAP7D2	31.906557	6.465839	2.1655947885014624e-223	2.2154976249321486e-221
PSMD2	31.854933	2.504165	1.1247614845581436e-222	1.1456986031018667e-220
ADRM1	31.795088	2.3871217	7.568703091424023e-222	7.610751441931935e-220
AP3D1	31.69561	3.0605478	1.7858394340655927e-220	1.780542452693364e-218
TCP1	31.619936	2.2552788	1.964814837681479e-219	1.9507212291411477e-217
RAE1	31.618853	3.322983	2.033368739577858e-219	2.0103011110196217e-217
ZFAND6	31.465273	2.3653774	2.59505535241957e-217	2.5232087786129125e-215
COX5A	31.451996	2.2140749	3.942041514427024e-217	3.8171290878381844e-215
GPBP1	31.395662	2.261905	2.3189157186542827e-216	2.236233068030134e-214
MT-ND4	31.342754	0.9136381	1.2212517664766294e-215	1.1729001659263302e-213
HNRNPA2B1	31.299797	1.2510054	4.695939236673938e-215	4.49168496906251e-213
RPL26L1	31.235432	2.713941	3.521008660072461e-214	3.340698942399395e-212
